subject,glm_threshold,bayesian_informative,bayesian_info_hdi_low,bayesian_info_hdi_high,bayesian_flat,bayesian_flat_hdi_low,bayesian_flat_hdi_high,final_opacity
sub20MPV3,0.1971373407879343,0.2076190052810717,0.1486449296538603,0.2671081623577597,0.1869940796361295,0.1185651016687951,0.248124017139704,0.28
sub21MP,0.2538534338863585,0.2624028310394349,0.2094551758160657,0.3222437342165474,0.2509519926058584,0.1900436586361156,0.3105964578899161,0.25
sub21MPV3,0.1898209976403775,0.1990336308440428,0.140585185384672,0.2569114430571386,0.178048927920482,0.1146396039558484,0.2430989475134815,0.28
sub22MP,0.3249086277250038,0.3492609406824901,0.2935888207309368,0.3995567036723162,0.3509397662234462,0.2964927850257625,0.4061698302564127,0.27
sub23MP,0.0919828030988219,0.1733065242531822,0.1102111083164676,0.2370846549369477,0.150028581283047,0.091627756118647,0.2054352609036448,0.25
sub24MP,0.3089575031890716,0.3123990254969236,0.2568730515975242,0.3661533213862872,0.3096019824608376,0.249500451877599,0.3651667036007808,0.25
sub25MP,0.342601177168214,0.3334491732239855,0.2792137983617938,0.3845476793736579,0.3328614006586539,0.2759419216117215,0.3896526486249234,0.25
sub26MP,0.2078925200566288,0.2260153273508043,0.1667631238522179,0.2825224630707116,0.2093956400258671,0.1463269837467408,0.2715149487559271,0.25
sub27MP,0.2908559869368426,0.2973327384939092,0.2438098476747471,0.3528098919511268,0.2900955520737744,0.2309529016295973,0.3478465086649546,0.26
sub28MP,0.3389132456693849,0.3360652854664798,0.2866478585393473,0.3908027040060386,0.334587545643675,0.2757309640886076,0.3899167775601326,0.26
sub29MP,0.6094320057247471,0.4241999239877111,0.3741277009494986,0.4786184814308216,0.4326772345943226,0.3783272062113603,0.4895757766466105,0.27
sub2MPV3,0.274528184099032,0.2813379771204093,0.2273270459427388,0.3387224747169903,0.2739681328981125,0.2112347249172842,0.3314627729376829,0.3
sub3MP,0.207083905594355,0.2152069416142777,0.1609499223159816,0.2759186921829483,0.1968225007817373,0.1327954194833607,0.2583975989480723,0.26
sub3MPV3,0.1955010000931601,0.206996941494253,0.1480032283414669,0.263963228450509,0.1860127119148324,0.1181089647509183,0.2506382363034167,0.28
sub4MP,0.2067469417806899,0.2127747720560008,0.1554019251317055,0.2695730918377358,0.1942071739477308,0.1296537670100056,0.2540372532558529,0.25
sub4MPV3,0.1923572374422471,0.2025739462122994,0.1430601479780507,0.2619295266787199,0.180228644019343,0.118571258986643,0.2464175843532638,0.28
sub5MP,0.1819615341199955,0.2321263185461421,0.1748537080713683,0.2915623599381254,0.2173514106855644,0.1553726497382051,0.2806051721970565,0.25
sub5MPV3,0.2241189301087036,0.242433628636985,0.1840828355927569,0.2975326708364806,0.2278809866248652,0.1681426526000506,0.2907293969227365,0.29
sub6MP,0.411873438552275,0.3640265468926558,0.3105807260451335,0.4161120963948622,0.3668229965817831,0.3120437607567455,0.4221332018639203,0.25
sub6MPV3,0.1988338836512191,0.2028892363231695,0.1443616663973699,0.2625539712477052,0.1814863838192328,0.1139759106864213,0.24212225011613,0.28
sub7MP,0.4601367612349029,0.5046032826031314,0.4526842949724959,0.5578899223309707,0.5217929405522157,0.4668484995191371,0.5782029067910759,0.31
sub7MPV3,0.219759803775846,0.2290278149196482,0.1718467835600058,0.2861505797719361,0.2133197960837584,0.152254838115425,0.2790878643688737,0.29
sub8MP,0.2614615672899831,0.2682062639524921,0.2095059575592633,0.3222152733125382,0.2593987413422812,0.2007726155177422,0.3157819003929522,0.28
sub8MPV3,0.2213677889787962,0.2290478929608077,0.1668180910502364,0.2855520543585428,0.2136912455602156,0.1540885618209404,0.2782147584471821,0.28
sub9MPV3,0.1947385606321595,0.2077659180962947,0.1455235010865262,0.2661643474211518,0.1873212972744623,0.1223121329700329,0.2526047101476075,0.28
