"","Face_response","Face_confidence","Face_Onset_Time","Face_Position","Noise_Number","Face_Size","Opacity","Direction_Report","subnumber","block_number"
"993",1,1,62.8333281119994,-7,365,9,0.1,2,"8MPV3",0
"994",1,3,68.2006906339957,-7,278,8,0.5,1,"8MPV3",0
"995",1,1,73.6328056380007,-5,172,8,0.3,2,"8MPV3",0
"996",1,1,79.2164008649997,5,398,6,0.4,1,"8MPV3",0
"997",1,1,84.1681772129959,-7,322,8,0.2,1,"8MPV3",0
"998",1,4,89.6967040669988,-5,275,8,0.7,1,"8MPV3",0
"999",1,4,94.264540862001,7,186,6,0.6,2,"8MPV3",0
"1000",1,3,99.1988484750036,-5,286,8,0.1,2,"8MPV3",0
"1001",1,4,0.0183132489910349,7,214,8,0.6,2,"8MPV3",1
"1002",1,4,5.09891508799046,5,30,8,0.3,2,"8MPV3",1
"1003",1,4,9.76226429099916,-7,412,8,0.4,1,"8MPV3",1
"1004",1,4,14.4736555989948,7,343,7,0.5,2,"8MPV3",1
"1005",1,1,19.0734863510006,-5,137,8,0.1,1,"8MPV3",1
"1006",1,1,24.0817314079904,5,79,6,0.2,1,"8MPV3",1
"1007",1,4,29.1696230289963,-5,74,9,0.7,1,"8MPV3",1
"1008",1,4,33.6253777270031,5,125,8,0.6,2,"8MPV3",1
"1009",1,3,38.609487320995,5,76,8,0.3,2,"8MPV3",1
"1010",1,3,43.2257417849905,-7,141,8,0.4,1,"8MPV3",1
"1011",1,4,48.03333306899,-5,360,8,0.5,1,"8MPV3",1
"1012",1,2,52.6900107279944,-7,166,8,0.1,2,"8MPV3",1
"1013",1,2,57.8822599190025,-5,333,7,0.2,1,"8MPV3",1
"1014",1,4,62.8262425419962,7,254,6,0.7,2,"8MPV3",1
"1015",1,4,67.5377999659977,-5,3,9,0.6,1,"8MPV3",1
"1016",1,3,72.2490806569986,7,91,7,0.3,2,"8MPV3",1
"1017",1,4,76.801490354992,-7,397,9,0.4,1,"8MPV3",1
"1018",1,4,81.3936088619957,-5,79,6,0.5,1,"8MPV3",1
"1019",1,2,86.3302333579923,-7,248,7,0.1,1,"8MPV3",1
"1020",1,2,91.4579982639989,-5,333,9,0.2,1,"8MPV3",1
"1021",1,2,0.0182943950057961,-7,404,7,0.1,1,"8MPV3",2
"1022",1,4,4.70548589900136,5,390,8,0.4,2,"8MPV3",2
